topic,actor,level,action,activity,activity_id
diets,midstream,high_cog,make plant-based products in coop markets more accessible,Students examine recommendations to make plant-based products in coop markets more accessible and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_HP82
diets,midstream,low_cog,serve only plant-based foods at all public catered events,Students examine recommendations to serve only plant-based foods at all public catered events and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NG26
diets,upstream,high_cog,prioritise healthy plant-based diets in national dietary guidelines,Students examine recommendations to prioritise healthy plant-based diets in national dietary guidelines and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_VZ44
diets,upstream,low_cog,price match plant-based proteins as a universal standard,Students examine recommendations to price match plant-based proteins as a universal standard and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_HS91
food_waste,downstream,high_cog,plan out food needed for meals before going grocery shopping,Students examine recommendations to plan out food needed for meals before going grocery shopping and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_JL19
food_waste,downstream,low_cog,store leftover foods in airtight containers for next day lunches,Students examine recommendations to store leftover foods in airtight containers for next day lunches and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_VL30
food_waste,midstream,high_cog,plan local food shed sales for redirecting imperfect produce,Students examine recommendations to plan local food shed sales for redirecting imperfect produce and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NV27
food_waste,midstream,low_cog,engage with community apps listing nearby food for rescue,Students examine recommendations to engage with community apps listing nearby food for rescue and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NS70
food_waste,upstream,high_cog,request restaurants offer options for taking home leftover food,Students examine recommendations to request restaurants offer options for taking home leftover food and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_WK66
food_waste,upstream,low_cog,mandate complete consumption tips on perishable food labels,Students examine recommendations to mandate complete consumption tips on perishable food labels and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ZF69
heating,downstream,high_cog,track heating costs using affordable home energy monitors,Students examine recommendations to track heating costs using affordable home energy monitors and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_EF74
heating,downstream,low_cog,set lower heating settings at home by layering warm clothing,Students examine recommendations to set lower heating settings at home by layering warm clothing and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_WK32
heating,midstream,high_cog,display reminders for turning off heating in communal areas,Students examine recommendations to display reminders for turning off heating in communal areas and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YG59
heating,midstream,low_cog,engage local residents in building adaptable district heating,Students examine recommendations to engage local residents in building adaptable district heating and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_IG12
heating,upstream,high_cog,mandate real estate disclosure of heating system efficiencies,Students examine recommendations to mandate real estate disclosure of heating system efficiencies and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_XT63
heating,upstream,low_cog,electrify heating by restricting sales of inefficient space heaters,Students examine recommendations to electrify heating by restricting sales of inefficient space heaters and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_AH38
insulation,downstream,high_cog,check for gaps around the home causing inefficient insulation,Students examine recommendations to check for gaps around the home causing inefficient insulation and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_PX53
insulation,downstream,low_cog,install heavy indoor blinds on windows for added insulation,Students examine recommendations to install heavy indoor blinds on windows for added insulation and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_HC33
insulation,midstream,high_cog,increase support for insulation audits on local public properties,Students examine recommendations to increase support for insulation audits on local public properties and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_LV09
insulation,midstream,low_cog,give support to crowdfunded insulation for local applicants,Students examine recommendations to give support to crowdfunded insulation for local applicants and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_TK86
insulation,upstream,high_cog,offer options of free installation for bulk household insulation,Students examine recommendations to offer options of free installation for bulk household insulation and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_HN41
insulation,upstream,low_cog,increase minimum standards of insulation in leased properties,Students examine recommendations to increase minimum standards of insulation in leased properties and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_KM58
plastics,downstream,high_cog,get a second household bin intended for sorting plastic waste,Students examine recommendations to get a second household bin intended for sorting plastic waste and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_HL93
plastics,downstream,low_cog,carry reusable alternatives instead of using disposable plastics,Students examine recommendations to carry reusable alternatives instead of using disposable plastics and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_MN46
plastics,midstream,high_cog,set up central collection points for plastic recycling pickup,Students examine recommendations to set up central collection points for plastic recycling pickup and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_AH79
plastics,midstream,low_cog,run plastic bottle collections for making local site furnishings,Students examine recommendations to run plastic bottle collections for making local site furnishings and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YH14
plastics,upstream,high_cog,deploy products labels showing recycled plastic content ratios,Students examine recommendations to deploy products labels showing recycled plastic content ratios and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_IG69
plastics,upstream,low_cog,regulate packaging efficiencies that reduce new plastic waste,Students examine recommendations to regulate packaging efficiencies that reduce new plastic waste and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_JX56
refrigerants,downstream,high_cog,seek refrigerant details when replacing home cooling devices,Students examine recommendations to seek refrigerant details when replacing home cooling devices and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ZK08
refrigerants,downstream,low_cog,use licensed technicians when disposing household refrigerants,Students examine recommendations to use licensed technicians when disposing household refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_SJ45
refrigerants,midstream,high_cog,offer accessible action days checking for refrigeration leaks,Students examine recommendations to offer accessible action days checking for refrigeration leaks and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_MK83
refrigerants,midstream,low_cog,connect local businesses to sustain refrigerant safety projects,Students examine recommendations to connect local businesses to sustain refrigerant safety projects and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ZG86
refrigerants,upstream,high_cog,design label standards for displaying refrigerant compositions,Students examine recommendations to design label standards for displaying refrigerant compositions and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ZT78
refrigerants,upstream,low_cog,regulate leak detection systems for commercial refrigerants,Students examine recommendations to regulate leak detection systems for commercial refrigerants and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_II46
smartphones,downstream,high_cog,mindfully aim for longer smartphone use before upgrading,Students examine recommendations to mindfully aim for longer smartphone use before upgrading and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NN50
smartphones,downstream,low_cog,commit to purchasing refurbished rather than new smartphones,Students examine recommendations to commit to purchasing refurbished rather than new smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ZJ09
smartphones,midstream,high_cog,establish local repair cafes for fixing broken smartphones,Students examine recommendations to establish local repair cafes for fixing broken smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_QZ46
smartphones,midstream,low_cog,hold smartphone donation drives for material recovery events,Students examine recommendations to hold smartphone donation drives for material recovery events and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_UZ83
smartphones,upstream,high_cog,provide government sponsorship for long-lifespan smartphones,Students examine recommendations to provide government sponsorship for long-lifespan smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_FR04
smartphones,upstream,low_cog,implement minimum free repair periods for all smartphones,Students examine recommendations to implement minimum free repair periods for all smartphones and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YT28
solar,downstream,high_cog,consider choosing energy suppliers with a higher solar mix,Students examine recommendations to consider choosing energy suppliers with a higher solar mix and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_NA13
solar,downstream,low_cog,access affordable funding for complete home solar systems,Students examine recommendations to access affordable funding for complete home solar systems and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_JA44
solar,midstream,high_cog,seek property rights protecting sunlight access for solar panels,Students examine recommendations to seek property rights protecting sunlight access for solar panels and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_YH68
solar,midstream,low_cog,establish community solar schemes with local resident shares,Students examine recommendations to establish community solar schemes with local resident shares and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_UM19
solar,upstream,high_cog,publish public solar generation data from energy suppliers,Students examine recommendations to publish public solar generation data from energy suppliers and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_FG80
solar,upstream,low_cog,coordinate subsidised home solar panel installation schemes,Students examine recommendations to coordinate subsidised home solar panel installation schemes and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_UM47
steel,downstream,high_cog,try purchasing high-quality steel cookware that is durable,Students examine recommendations to try purchasing high-quality steel cookware that is durable and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_UG31
steel,downstream,low_cog,actively source reclaimed steel for optimising home renovations,Students examine recommendations to actively source reclaimed steel for optimising home renovations and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_QA10
steel,midstream,high_cog,offer neighbours scrap steel collection runs for recycling,Students examine recommendations to offer neighbours scrap steel collection runs for recycling and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_BM70
steel,midstream,low_cog,create resident workshop spaces using scrap steel donations,Students examine recommendations to create resident workshop spaces using scrap steel donations and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_CR14
steel,upstream,high_cog,create live tracking for steel waste from all new constructions,Students examine recommendations to create live tracking for steel waste from all new constructions and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_LY95
steel,upstream,low_cog,source low emission steel for public infrastructure projects,Students examine recommendations to source low emission steel for public infrastructure projects and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_JJ52
travel,downstream,high_cog,plan weekly work from home days for less travel requirements,Students examine recommendations to plan weekly work from home days for less travel requirements and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_DC62
travel,downstream,low_cog,travel using alternative transport for pursuing car-free lifestyles,Students examine recommendations to travel using alternative transport for pursuing car-free lifestyles and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_PB62
travel,midstream,high_cog,help plan 15-minute cities for reducing travel requirements,Students examine recommendations to help plan 15-minute cities for reducing travel requirements and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_IG83
travel,midstream,low_cog,coordinate practical carpool travel for daily commutes,Students examine recommendations to coordinate practical carpool travel for daily commutes and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_BV98
travel,upstream,high_cog,develop national strategies for shared electric vehicle travel,Students examine recommendations to develop national strategies for shared electric vehicle travel and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_KG40
travel,upstream,low_cog,dedicate minimum car-free zones in cities for active travel,Students examine recommendations to dedicate minimum car-free zones in cities for active travel and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_SL14
trees,downstream,high_cog,consider native urban tree suggestions for planting nearby,Students examine recommendations to consider native urban tree suggestions for planting nearby and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_QL28
trees,downstream,low_cog,take responsibility for a nearby urban tree by adopting it,Students examine recommendations to take responsibility for a nearby urban tree by adopting it and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_RO52
trees,midstream,high_cog,source available area maps for urban tree planting suggestions,Students examine recommendations to source available area maps for urban tree planting suggestions and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_SY10
trees,midstream,low_cog,establish reputable guardian networks for planting urban trees,Students examine recommendations to establish reputable guardian networks for planting urban trees and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_FJ79
trees,upstream,high_cog,offer fast government agency approvals for urban tree planting,Students examine recommendations to offer fast government agency approvals for urban tree planting and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_ZM35
trees,upstream,low_cog,publicly funded citizen employment for planting urban trees,Students examine recommendations to publicly funded citizen employment for planting urban trees and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_TT87
wood,downstream,high_cog,look for sustainable wood logos when purchasing new products,Students examine recommendations to look for sustainable wood logos when purchasing new products and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_GJ01
wood,downstream,low_cog,determine higher-quality wood products for durable purchases,Students examine recommendations to determine higher-quality wood products for durable purchases and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_HS96
wood,midstream,high_cog,cater alert registries for local businesses to claim leftover wood,Students examine recommendations to cater alert registries for local businesses to claim leftover wood and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_KQ12
wood,midstream,low_cog,champion locally recycled timber for new infrastructure projects,Students examine recommendations to champion locally recycled timber for new infrastructure projects and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_MM25
wood,upstream,high_cog,deploy non-hierarchical appearance grading for wood products,Students examine recommendations to deploy non-hierarchical appearance grading for wood products and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_JP43
wood,upstream,low_cog,standardise use of lower grade wood for non-structural products,Students examine recommendations to standardise use of lower grade wood for non-structural products and determine how the strategy could limit anthropogenic impact on Earth's systems.,a_RA04
